Field,Reference
sourceSystem.code,The short name of the source system. E.g.: CRS
sourceSystem.name,The full name of the source system. E.g.: Collection Registration System
sourceSystemId,
recordURI,https://terms.tdwg.org/wiki/abcd2:RecordURI
unitID,https://terms.tdwg.org/wiki/abcd2:UnitID
unitGUID,https://terms.tdwg.org/wiki/abcd2:UnitGUID
collectorsFieldNumber,https://terms.tdwg.org/wiki/abcd2:CollectorsFieldNumber
assemblageID,https://terms.tdwg.org/wiki/abcd2:AssemblageID
sourceInstitutionID,https://terms.tdwg.org/wiki/abcd2:SourceInstitutionID
sourceID,https://terms.tdwg.org/wiki/abcd2:SourceID
owner,https://terms.tdwg.org/wiki/abcd2:DataSet-Owner
licenseType,
license,https://terms.tdwg.org/wiki/abcd2:Unit-License
recordBasis,https://terms.tdwg.org/wiki/dwc:basisOfRecord
kindOfUnit,https://terms.tdwg.org/wiki/abcd2:KindOfUnit
collectionType,
sex,https://terms.tdwg.org/wiki/abcd2:Sex
phaseOrStage,https://terms.tdwg.org/wiki/abcd2:ZoologicalUnit-PhaseOrStage
title,
notes,
preparationType,
numberOfSpecimen, The amount of individuals in this UnitID
fromCaptivity, Whether the UnitID is raised in captivity
objectPublic, Whether
multiMediaPublic,
acquiredFrom.agentText,
gatheringEvent.projectTitle,https://terms.tdwg.org/wiki/abcd2:Gathering-Project
gatheringEvent.worldRegion,The name of a world region of a location
gatheringEvent.continent,Name of the continent of a location. 
gatheringEvent.country,https://terms.tdwg.org/wiki/abcd2:Gathering-Country
gatheringEvent.iso3166Code,The international code for countries
gatheringEvent.provinceState,https://terms.tdwg.org/wiki/dwc:stateProvince
gatheringEvent.island,https://terms.tdwg.org/wiki/dwc:island
gatheringEvent.locality,
gatheringEvent.city,https://terms.tdwg.org/wiki/dwc:municipality
gatheringEvent.sublocality,
gatheringEvent.localityText,https://terms.tdwg.org/wiki/abcd2:Gathering-LocalityText
gatheringEvent.dateTimeBegin,https://terms.tdwg.org/wiki/abcd2:Gathering-DateTime-ISODateTimeBegin
gatheringEvent.dateTimeEnd,https://terms.tdwg.org/wiki/abcd2:Gathering-DateTime-ISODateTimeEnd
gatheringEvent.method,https://terms.tdwg.org/wiki/abcd2:Gathering-Method
gatheringEvent.altitude,https://terms.tdwg.org/wiki/abcd2:Gathering-Altitude
gatheringEvent.altitudeUnifOfMeasurement,The unit in which the altitude is measured.
gatheringEvent.depth,https://terms.tdwg.org/wiki/abcd2:Gathering-Depth
gatheringEvent.depthUnitOfMeasurement,The unit in which the depth is measured.
gatheringEvent.gatheringPersons.agentText,
gatheringEvent.gatheringPersons.fullName,
gatheringEvent.gatheringPersons.organization.agentText,
gatheringEvent.gatheringPersons.organization.name,
gatheringEvent.gatheringOrganizations.agentText,
gatheringEvent.gatheringOrganizations.name,
gatheringEvent.siteCoordinates.longitudeDecimal,
gatheringEvent.siteCoordinates.latitudeDecimal,
gatheringEvent.siteCoordinates.gridCellSystem,
gatheringEvent.siteCoordinates.gridLatitudeDecimal,
gatheringEvent.siteCoordinates.gridLongitudeDecimal,
