Field,Reference
sourceSystem.code,
sourceSystem.name, "The name of the source system"
sourceSystemId,
recordURI,
sourceSystemParentId,
taxonRank,
taxonRemarks,
occurrenceStatusVerbatim,
acceptedName.fullScientificName,
acceptedName.taxonomicStatus,
acceptedName.genusOrMonomial,
acceptedName.subgenus,
acceptedName.specificEpithet,
acceptedName.infraspecificEpithet,
acceptedName.infraspecificMarker,
acceptedName.nameAddendum,
acceptedName.authorshipVerbatim,
acceptedName.author,
acceptedName.year,
acceptedName.scientificNameGroup,
acceptedName.references.titleCitation,
acceptedName.references.citationDetail,
acceptedName.references.uri,
acceptedName.references.author.agentText,
acceptedName.references.author.fullName,
acceptedName.references.author.organization.agentText,
acceptedName.references.author.organization.name,
acceptedName.references.publicationDate,
acceptedName.experts.agentText,
acceptedName.experts.fullName,
acceptedName.experts.organization.agentText,
acceptedName.experts.organization.name,
defaultClassification.kingdom,
defaultClassification.phylum,
defaultClassification.className,
defaultClassification.order,
defaultClassification.superFamily,
defaultClassification.family,
defaultClassification.genus,
defaultClassification.subgenus,
defaultClassification.specificEpithet,
defaultClassification.infraspecificEpithet,
defaultClassification.infraspecificRank,
systemClassification.rank,
systemClassification.name,
synonyms.fullScientificName,
synonyms.taxonomicStatus,
synonyms.genusOrMonomial,
synonyms.subgenus,
synonyms.specificEpithet,
synonyms.infraspecificEpithet,
synonyms.infraspecificMarker,
synonyms.nameAddendum,
synonyms.authorshipVerbatim,
synonyms.author,
synonyms.year,
synonyms.scientificNameGroup,
synonyms.references.titleCitation,
synonyms.references.citationDetail,
synonyms.references.uri,
synonyms.references.author.agentText,
synonyms.references.author.fullName,
synonyms.references.author.organization.agentText,
synonyms.references.author.organization.name,
synonyms.references.publicationDate,
synonyms.experts.agentText,
synonyms.experts.fullName,
synonyms.experts.organization.agentText,
synonyms.experts.organization.name,
vernacularNames.name,
vernacularNames.language,
vernacularNames.preferred,
vernacularNames.references.titleCitation,
vernacularNames.references.citationDetail,
vernacularNames.references.uri,
vernacularNames.references.author.agentText,
vernacularNames.references.author.fullName,
vernacularNames.references.author.organization.agentText,
vernacularNames.references.author.organization.name,
vernacularNames.references.publicationDate,
vernacularNames.experts.agentText,
vernacularNames.experts.fullName,
vernacularNames.experts.organization.agentText,
vernacularNames.experts.organization.name,
descriptions.category,
descriptions.description,
descriptions.language,
references.titleCitation,
references.citationDetail,
references.uri,
references.author.agentText,
references.author.fullName,
references.author.organization.agentText,
references.author.organization.name,
references.publicationDate,
experts.agentText,
experts.fullName,
experts.organization.agentText,
experts.organization.name,
